basin,volume [L]
Land,2.962811985541511e+18
Atlantic,2.1266384359290536e+20
Pacific,5.5725452894107566e+20
Indian,1.39668747020955e+20
Arctic,5.32874987834807e+18
Southern,2.683672644307856e+20
Mediterranean,0.0
Coastal Atlantic,3.4916457799683973e+19
Coastal Pacific,4.656630766755455e+19
Coastal Indian,2.834407824807264e+19
Coastal Arctic,8.96947294641944e+18
Coastal Southern,3.0319466205917733e+19
Coastal Mediterranean,3.7235657852727086e+18
