quantity,lat,lon,datetime,stationID,cruiseID,uniqueID,depth,value,units,uncertainty,uncertainty_type,flags,reference,year,month,day,basin,water_mass
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1300.0,0.7236728624535316,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1400.0,0.7617769516728624,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1500.0,0.7991450216450217,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1600.0,0.7636471861471861,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1700.0,0.7281493506493506,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1800.0,0.751264705882353,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,1900.0,0.7995,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2000.0,0.8181363636363636,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2100.0,0.8367727272727272,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2200.0,0.8471909722222222,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
Hg_T,-15.0,-173.10000000000002,2011-10-23 00:00:00,12,KM1128,KM1128_12,2300.0,0.8329548611111111,pmol L-1,,,[],,2011.0,10.0,23.0,Pacific,
