Year,w_wf - Other Metals Production,w_ws - Other Metals Production,w_wa - Other Metals Production,w_wf - Gold and Silver Production,w_ws - Gold and Silver Production,w_wa - Gold and Silver Production,w_wf - Fossil-Fuel Combustion,w_ws - Fossil-Fuel Combustion,w_wa - Fossil-Fuel Combustion,w_wf - Mercury Production,w_ws - Mercury Production,w_wa - Mercury Production,w_wf - Mercury Use,w_ws - Mercury Use,w_wa - Mercury Use
1980,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
1990,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2000,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2010,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2020,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2030,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2040,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2050,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2060,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2070,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2080,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2090,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2100,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2110,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2120,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2130,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2140,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2150,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
2160,0.015,0.01,0.975,0.1,0.035,0.865,0.075,0.075,0.85,0.005,0.02,0.975,0.005,0.025,0.97
