Year,Air - Americas,Air - Europe and Former USSR,Air - Africa and Middle East,Air - Asia and Oceania,LW - Americas,LW - Europe and Former USSR,LW - Africa and Middle East,LW - Asia and Oceania
2090.0,28.554352,21.852594,61.541587,134.635859,723.030145,499.075118,307.632714,1562.175806
2100.0,22.549127,16.328677,21.094739,94.375243,675.208153,468.527096,238.55198,1460.49779
2110.0,19.415756,14.059684,18.163466,81.261093,581.382898,403.42173,205.403387,1257.55063
2120.0,19.415756,14.059684,18.163466,81.261093,581.382898,403.42173,205.403387,1257.55063
2130.0,19.415756,14.059684,18.163466,81.261093,581.382898,403.42173,205.403387,1257.55063
2140.0,19.415756,14.059684,18.163466,81.261093,581.382898,403.42173,205.403387,1257.55063
2150.0,15.532605,11.247747,14.530773,65.008874,465.106319,322.737384,164.32271,1006.040504
2160.0,11.649454,8.435811,10.89808,48.756656,348.829739,242.053038,123.242032,754.530378
2170.0,7.766303,5.623874,7.265387,32.504437,232.553159,161.368692,82.161355,503.020252
2180.0,3.883151,2.811937,3.632693,16.252219,116.27658,80.684346,41.080677,251.510126
2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
