Year,Air - Fossil-Fuel Combustion,Air - Gold and Silver Production,Air - Mercury Production and Use,Air - Other Metals Production,LW - Fossil-Fuel Combustion,LW - Gold and Silver Production,LW - Mercury Production and Use,LW - Other Metals Production
1510.0,0.0003004851991823,14.51871166,18.98442000000001,0.01318,4.477229467817288e-05,21.77806749,66.44547000000006,0.00026
1520.0,0.0004039069427291,17.03157584111111,20.812418208559304,0.0214178947368421,6.018213446664596e-05,25.547363761666663,72.84346372995756,0.0003899999999999
1530.0,0.0005429246393124,21.208629912222225,22.8164332483147,0.042146682534654,8.0895771257558e-05,71.08435866833334,79.85751636910145,0.0007879864329443
1540.0,0.0007297897926211,27.74532592619048,25.013413672453645,0.0513825273875244,0.0001087386791005,165.5701988892857,87.54694785358775,0.00093939699907
1550.0,0.000980970659369,33.232945735714296,27.42194000000001,0.0606981026831436,0.0001461646282459,248.54912240357143,95.97679000000004,0.0010925181456038
1560.0,0.0013186035818433,36.62248095000001,59.46127779553135,0.0700997784227763,0.0001964719336946,321.28570302500003,208.11447228435964,0.0012474865380273
1570.0,0.001772443843701,39.809768164285714,61.6806538645452,0.0795944335339475,0.0002640941327114,388.3974996464285,215.88228852590817,0.0014044497606038
1580.0,0.0023824879761679,42.98336489285715,64.01254063552327,0.0891894965307089,0.000354990708449,455.48876053928575,224.0438922243314,0.0015635671887257
1590.0,0.0032024986161097,44.34348457392859,66.46326596772865,0.098892989422422,0.0004771722938003,519.859805860893,232.62143088705028,0.0017250109309575
1600.0,0.0043047425585252,44.25994546893941,69.03952327999998,0.1087135751306025,0.0006414066412202,582.0653630034092,241.63833147999992,0.0018889668463425
1610.0,0.0057863595637361,41.38880714054763,76.09785833786995,0.1186606086940949,0.0008621675749966,571.8609743908214,266.3425041825448,0.0020556356429869
1620.0,0.007777923196483,37.85095169215585,84.58712624725621,0.1287441925652423,0.0011589105562759,538.1733272182338,296.0549418653967,0.0022252340644139
1630.0,0.0104549481559225,38.461148124597415,94.82056375210276,0.1389752363239045,0.0015577872752324,519.1544785068961,331.8719731323597,0.0023979961707003
1640.0,0.0140533582270977,38.82086519703897,107.18035717105188,0.1493655211622781,0.0020939503758375,491.31319011555854,375.1312500986816,0.0025741747219695
1650.0,0.0188902780304325,39.43400844548053,112.42967736,0.1599277695216807,0.0028146514265344,472.3981348122208,393.50387076,0.0027540426724172
1660.0,0.0253919809273043,39.79372551792209,99.11710342153972,0.1706757202929129,0.0037834051581683,444.5568464208832,346.90986197538905,0.0029378947837004
1670.0,0.0341314561052983,40.400606782363646,89.74864177750302,0.1816242100246923,0.0050855869596894,425.4212301255456,314.1202462212606,0.0031260493672281
1680.0,0.0458789055963418,40.76041802545456,81.9124577565939,0.1927892606201747,0.0068359569338549,397.5800829901818,286.69360214807864,0.0033188501656499
1690.0,0.0616696214841913,41.58708198322729,75.35595968207089,0.2041881740399166,0.0091887736011445,380.252316846841,263.7458588872481,0.0035166683846649
