Year,Air - Other Metals Production,Air - Gold and Silver Production,Air - Fossil-Fuel Combustion,Air - Mercury Production and Use,LW - Other Metals Production,LW - Gold and Silver Production,LW - Fossil-Fuel Combustion,LW - Mercury Production and Use
2000.0,182.5078527492072,666.3643442894436,447.8583882955475,665.9865517428442,1046.320288300793,2867.6786525299617,297.32005539825707,2900.834363472998
2010.0,229.39,813.91,704.58,461.5691604,1489.914997,3056.215177,549.271345,2236.046351
2020.0,277.8209789,801.4329432,721.3719938,383.4752071,2054.630508,2880.420494,668.0005764,1753.174267
2030.0,260.2167839,800.3801808,573.4192515,331.7518768,2033.251184,2973.01437,656.899653,976.1171948
2040.0,231.1336685,649.367726,371.2106945,206.5002031,1955.210095,2459.637892,512.6671272,541.6420328
2050.0,205.0624945,498.4259467,283.9412456,138.5419091,2028.211518,1900.25801,448.9599528,320.0005915
2060.0,173.5176447,353.8793304,225.2905091,92.71954909,2029.799147,1432.426231,400.8095581,233.4678856
2070.0,136.0959154,220.0423882,183.1803813,59.96050024,2001.441982,1150.448278,368.1776961,160.6896954
2080.0,94.89508101,86.66275613,145.9357249,41.98469139,1974.76952,868.1751863,331.5723934,128.9204151
2090.0,54.12938348,50.37741836,109.9954829,32.08210687,1934.506407,774.2331323,282.8467754,100.327467
2100.0,36.58052694,14.31993343,77.04140044,26.40592579,1855.310718,680.1443117,228.7927304,78.53725906
2110.0,31.49738741,12.3300709,66.33591802,22.73662367,1597.501331,585.6331409,197.0002587,67.62391585
2120.0,31.49738741,12.3300709,66.33591802,22.73662367,1597.501331,585.6331409,197.0002587,67.62391585
2130.0,31.49738741,12.3300709,66.33591802,22.73662367,1597.501331,585.6331409,197.0002587,67.62391585
2140.0,31.49738741,12.3300709,66.33591802,22.73662367,1597.501331,585.6331409,197.0002587,67.62391585
2150.0,25.19790993,9.864056722,53.06873442,18.18929893,1278.001065,468.5065128,157.6002069,54.09913269
2160.0,18.89843244,7.398042542,39.80155081,13.6419742,958.500798,351.3798844,118.2001551,40.57434949
2170.0,12.59895496,4.932028361,26.53436721,9.094649467,639.0005322,234.2532563,78.80010346,27.04956634
2180.0,6.299477481,2.466014181,13.2671836,4.547324733,319.5002661,117.1266282,39.40005172,13.52478317
2190.0,6.73082e-15,2.63487e-15,1.41756e-14,4.85869e-15,3.4133e-13,1.25129e-13,4.2092e-14,1.44489e-14
2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
